set1_id,DataVizRoles_collapsed,JobTitle_cleaned__,YearsDataVizExperience_buckets,OrgSector_,OrgSector_Public,OrgSector_Private,OrgSector_Nonprofit,OrgSector_Academia,OrgSector_Other__,TimeWorked,TimeDataPrep,TimeDataAnalysis,TimeIdeating,TimeProducingViz,TimeManagingDataViz,TimeOtherVizTasks,OtherVizTasks__
QSDL,Employee,Assistant Director for Data Visualization,1-5,2,x,[^not chosen],[^not chosen],x,[^not chosen],41–50 hours,None,5 hours or less,None,5 hours or less,21–30 hours,5 hours or less,Validation;critique;documentation
MJKY,EmployeeAND,Analytics Lead; Faculty,21-25,2,x,[^not chosen],[^not chosen],x,[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,[^not chosen]
HMaa,Employee,Solutions Architect,6-10,3,x,x,x,[^not chosen],[^not chosen],31–40 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,11–20 hours,Administrative communications; requesting access to data
tTLB,EmployeeAND,Business Intelligence Analyst,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,6–10 hours,5 hours or less,5 hours or less,11–20 hours,5 hours or less,None,[^not chosen]
uyLJ,Employee,Head of Data Journalism,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,11–20 hours,[^not chosen],[^not chosen]
NTmn,Employee,Data Analyst,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,None,None,[^not chosen]
UpjC,Employee,Senior Data Analyst,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,21–30 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,[^not chosen]
OtwJ,Employee,Staff data visualization engineer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,5 hours or less,5 hours or less,Wireframing
NilK,Freelance,Data Visualization Designer,11-15,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Teaching others; writing about data viz
jIte,Academic,Assistant Professor,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,None,None,[^not chosen]
inuB,Employee,Researcher; Project Manager,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,None,None,None,[^not chosen],[^not chosen]
EyYA,Employee,Software Engineer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,[^not chosen]
hpFd,Freelance,Data Visualization & Storytelling Specialist,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],20 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
bVRo,EmployeeAND,Marketing Design Manager,Less than 1 year,2,x,x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,6–10 hours,5 hours or less,"Team edits and feedback, iterations, etc."
eGos,Employee,"Director, Systems Strategy and Innovation",6-10,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],41–50 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,11–20 hours,None,[^not chosen]
Stdu,Employee,Business Intelligence Engineer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,6–10 hours,"scoping meetings, client review, client signoff"
jSLl,Employee,Monitoring and Evaluation Specialist,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,None,[^not chosen]
vGFL,Employee,Director of Analytics,11-15,2,x,x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,None,6–10 hours,11–20 hours,None,[^not chosen]
ahFu,Employee,Data visualisation scientist,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,None,[^not chosen]
BZoo,FreelanceAND,Director,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],51–60 hours,5 hours or less,5 hours or less,11–20 hours,6–10 hours,5 hours or less,None,[^not chosen]
RDFQ,Freelance,Consultant,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,None,11–20 hours,Advisory services for clients' data teams; Marketing; Writing blogs; Public presentations
amBV,Employee,Data Visualization Expert,6-10,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,5 hours or less,None,6–10 hours,5 hours or less,6–10 hours,Documentation; Cleaning code; reviewing
PPYB,Employee,Data visualisation and storytelling,Less than 1 year,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,6–10 hours,None,5 hours or less,11–20 hours,Coding
sJGf,Employee,Data Analytics Developer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,21–30 hours,5 hours or less,None,None,6–10 hours,None,[^not chosen]
PECg,Employee,"Director, Data Analysis & Visualization",6-10,2,[^not chosen],x,x,[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,11–20 hours,5 hours or less,Helping others troubleshoot their viz
cTPx,EmployeeANDFreelance,Impact Measurement and ESG Manager,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],20 hours or less,None,5 hours or less,[^not chosen],[^not chosen],5 hours or less,[^not chosen],[^not chosen]
yFxe,Employee,Director of Institutional Effectiveness,6-10,3,[^not chosen],x,x,x,[^not chosen],More than 70 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,user testing
RPwU,Employee,Data Visualisation Lead,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,6–10 hours,5 hours or less,5 hours or less,11–20 hours,6–10 hours,None,[^not chosen]
kGSn,Employee,Digital Designer,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],41–50 hours,6–10 hours,5 hours or less,11–20 hours,11–20 hours,5 hours or less,[^not chosen],[^not chosen]
UHOv,Employee,Tableau Developer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,None,5 hours or less,5 hours or less,More than 30 hours,5 hours or less,[^not chosen],[^not chosen]
iZbc,Freelance,Data Visualization Specialist,11-15,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,6–10 hours,5 hours or less,6–10 hours,11–20 hours,5 hours or less,None,[^not chosen]
THpQ,Hobbyist,Content Producer,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],51–60 hours,None,5 hours or less,5 hours or less,6–10 hours,5 hours or less,None,[^not chosen]
BNhI,Employee,Principal Machine Learning Engineer,16-20,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,[^not answered]
gYkF,Freelance,Information Designer,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,None,5 hours or less,None,11–20 hours,11–20 hours,None,[^not chosen]
jWMr,EmployeeAND,Information Designer,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,11–20 hours,6–10 hours,5 hours or less,[^not chosen],[^not chosen]
Lmem,Employee,Senior Principal software engineer,6-10,2,x,x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,None,5 hours or less,6–10 hours,None,[^not chosen]
WwuG,Employee,Lead Product Designer,1-5,3,x,x,x,[^not chosen],[^not chosen],41–50 hours,None,5 hours or less,5 hours or less,5 hours or less,None,11–20 hours,Meetings
vBoT,Freelance,Freelancer,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,5 hours or less,5 hours or less,11–20 hours,11–20 hours,6–10 hours,None,[^not chosen]
Sqvh,Employee,Principal Designer,11-15,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,None,[^not chosen]
jSIk,EmployeeAND,Statistician,1-5,2,x,[^not chosen],x,[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,None,None,[^not chosen]
iuKh,Employee,Business Intelligence Analyst,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,[^not chosen]
olDC,Hobbyist,"Director, Marketing Analytics",1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],20 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,[^not chosen]
gGlD,Employee,[^not answered],6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,None,[^not chosen]
luJy,Employee,Data Analyst,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,21–30 hours,5 hours or less,5 hours or less,5 hours or less,None,None,[^not chosen]
HLiz,Employee,Data and Statistics Consultant,6-10,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,11–20 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,5 hours or less,Talking through specific needs with colleagues to ensure I deliver the right product for them.
QxOC,Employee,Director for Strategic Initiatives,1-5,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],31–40 hours,5 hours or less,5 hours or less,None,5 hours or less,None,None,[^not chosen]
UzuR,Employee,Lead Data Visualization Analyst,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,5 hours or less,5 hours or less,[^not answered]
zuSA,Employee,Director of Grants & Evaluation,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],41–50 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,[^not chosen]
ddOU,Employee,Visual Journalist,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
LEYU,Employee,Geospatial Analyst,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,None,None,None,None,[^not chosen]
yEjw,Employee,Data Analyst,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,None,[^not chosen]
olmt,Employee,Quality Assurance Manager,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,21–30 hours,5 hours or less,5 hours or less,None,None,[^not chosen],[^not chosen]
HlLj,Employee,Data Integration Developer,6-10,2,x,[^not chosen],[^not chosen],x,[^not chosen],31–40 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,[^not chosen]
Yhey,Employee,Epidemiologist,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,11–20 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,5 hours or less,Training/data viz skill building
rTOk,Employee,Epidemiologist,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,5 hours or less,training
tqDH,Employee,Senior Consultant,11-15,2,x,[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
KBHX,Employee,Research Associate,1-5,2,x,x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,5 hours or less,None,None,None,None,[^not chosen]
QCiY,Employee,Senior Data Visualization Engineer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,6–10 hours,None,[^not chosen]
ZAbE,EmployeeAND,Data Analyst,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,None,None,[^not chosen]
zBsf,Employee,Sr. Analytics Engineer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,11–20 hours,11–20 hours,5 hours or less,[^not chosen],[^not chosen]
krpD,Employee,Epidemiologist,6-10,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],21–30 hours,5 hours or less,5 hours or less,None,5 hours or less,None,None,[^not chosen]
CoYF,EmployeeANDFreelanceAND,Visual Journalist,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,5 hours or less,[^not chosen],[^not chosen]
jzFJ,Employee,Data Visualization Developer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],21–30 hours,5 hours or less,5 hours or less,None,11–20 hours,5 hours or less,[^not chosen],[^not chosen]
pVQC,Employee,[^not answered],6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,[^not chosen],6–10 hours,dev
SxHw,Employee,Data Analytics and Visualization Specialist,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,11–20 hours,5 hours or less,None,5 hours or less,None,11–20 hours,Drafting evaluation plan
zMKQ,Employee,Senior Product Owner,11-15,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,[^not chosen],5 hours or less,11–20 hours,[^not chosen],[^not chosen]
wufT,FreelanceAND,[^not answered],6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,5 hours or less,None,[^not chosen]
WKcX,Academic,Assistant Professor,16-20,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],20 hours or less,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,None,[^not chosen]
hdmJ,Employee,Data Visualization Designer,6-10,3,x,x,x,[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,21–30 hours,21–30 hours,21–30 hours,[^not chosen],[^not chosen]
GQdn,Academic,Post Doctoral Researcher,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,[^not chosen],[^not chosen]
UkRL,EmployeeAND,Senior Media Analyst,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],20 hours or less,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,None,[^not chosen]
opSl,Employee,Product Manager,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,[^not answered]
rOdu,Academic,Assistant Professor,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,11–20 hours,None,[^not chosen]
bLdH,Employee,Senior Software Engineer,11-15,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,None,5 hours or less,6–10 hours,5 hours or less,[^not answered]
wvdI,EmployeeAND,infographic editor,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],51–60 hours,5 hours or less,5 hours or less,11–20 hours,5 hours or less,6–10 hours,None,[^not chosen]
OwOP,Employee,Product Insights Lead,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,None,[^not chosen]
QHdW,Employee,Data Analytics Manager,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,6–10 hours,[^not chosen],[^not chosen]
nJdh,Employee,Principal Data Visualization Designer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,None,5 hours or less,6–10 hours,5 hours or less,21–30 hours,5 hours or less,Making sure the designs are up to our design system standards; making sure our dev team is creating data viz up to design system standards
uosH,Employee,Data Visualization Engineer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,6–10 hours,21–30 hours,[^not chosen],[^not chosen],[^not chosen]
RECw,Employee,Data Analyst,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
Xxqe,Employee,Solutions Engineer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,[^not chosen],5 hours or less,[^not chosen],[^not chosen],[^not chosen],5 hours or less,Waiting for screens to refresh (Tableau)
SXAB,Academic,Associate Department Head of Computer Programming & Information Sciences,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,None,[^not chosen]
cwgV,Employee,Data Analyst,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,11–20 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,None,[^not chosen]
sgZR,Employee,Business Intelligence Analyst,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],20 hours or less,5 hours or less,5 hours or less,5 hours or less,None,5 hours or less,None,[^not chosen]
DBIM,EmployeeANDFreelanceAND,[^not answered],1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],20 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,None,[^not chosen]
xlHz,Employee,Data Analyst,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,6–10 hours,5 hours or less,None,None,5 hours or less,[^not chosen],[^not chosen]
WsRl,Employee,Visual Journalist,1-5,2,x,x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,6–10 hours,5 hours or less,5 hours or less,21–30 hours,5 hours or less,[^not chosen],[^not chosen]
NWkk,Employee,"Senior Director, Mission & Strategy",6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,6–10 hours,None,[^not chosen]
iXTA,Employee,Senior Data Visualization Engineer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,None,None,[^not chosen]
kcos,Employee,Sr product owner data and analytics,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,None,[^not chosen]
qBIK,FreelanceAND,"Social Media Manager, Executive Communications",1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,[^not answered]
ZoTV,Employee,Research and Evaluation Senior Manager,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,[^not chosen],5 hours or less,None,5 hours or less,None,[^not chosen],[^not chosen]
LSiD,EmployeeAND,Sr Director for Data & Analytics,11-15,3,x,[^not chosen],x,x,[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,11–20 hours,11–20 hours,Building stakeholder relationships; requirements gathering
ayqO,Employee,Senior Manager Data Visualisation,11-15,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,6–10 hours,[^not chosen],[^not chosen]
DTch,Employee,Metadata analyst,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,None,5 hours or less,None,[^not chosen]
Ilsb,Employee,Data Visualization Designer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,5 hours or less,6–10 hours,11–20 hours,11–20 hours,None,[^not chosen]
McHv,Employee,Epidemiologist,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
FPUu,Employee,Senior Consultant,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,None,5 hours or less,None,[^not chosen],[^not chosen]
aaRW,Academic,Professor,21-25,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,None,5 hours or less,5 hours or less,5 hours or less,11–20 hours,[^not chosen],[^not chosen]
YeKZ,Employee,Director,6-10,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Data literacy; Communication
Wggb,Employee,Business Intelligence Manager,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,6–10 hours,5 hours or less,learning CSS
FbUq,EmployeeANDFreelanceAND,Data Visualization Developer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,5 hours or less,11–20 hours,11–20 hours,5 hours or less,None,[^not chosen]
ARFZ,Employee,Operations and Policy Analyst,6-10,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,[^not chosen],[^not chosen]
aYGD,Employee,Senior Consultant,1-5,2,x,[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,None,5 hours or less,5 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
KITr,Employee,Principal Data Developer,11-15,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],41–50 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
KuTZ,Employee,Engineering Fellow,16-20,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,None,11–20 hours,None,None,[^not chosen]
HmSm,EmployeeAND,Data Analyst,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,11–20 hours,5 hours or less,6–10 hours,6–10 hours,None,None,[^not chosen]
xLBD,Employee,Data Visualization Developer,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,5 hours or less,[^not chosen],[^not chosen]
EDlC,FreelanceAND,Information Designer,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,None,5 hours or less,11–20 hours,5 hours or less,5 hours or less,None,[^not chosen]
Rgxy,Employee,Evaluation & Outcomes Measurement Specialist,16-20,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Indigenous National Government,41–50 hours,5 hours or less,5 hours or less,11–20 hours,11–20 hours,None,5 hours or less,Preparing PowerPoint for Training program
Dyvr,EmployeeAND,Principal Software Engineer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,None,5 hours or less,None,None,[^not chosen]
RKKU,EmployeeANDFreelance,Head of Visual Design,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,5 hours or less,None,[^not chosen]
SbDA,Employee,Data Manager,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,11–20 hours,5 hours or less,None,6–10 hours,None,None,[^not chosen]
WRPn,EmployeeANDFreelance,VP Product,11-15,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,None,[^not chosen]
AaVc,Employee,Senior Marketing Analyst,6-10,2,x,x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,6–10 hours,Meetings; requirement gathering
Jnyp,Employee,Director of Data Analysis,21-25,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
XrMw,Employee,"Senior Designer, Data Visualization",6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,21–30 hours,None,[^not chosen]
nwKq,Employee,Senior Information Graphics Designer,6-10,2,[^not chosen],[^not chosen],x,x,[^not chosen],31–40 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,None,None,[^not chosen]
quGZ,EmployeeAND,Senior Data Analyst,11-15,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],31–40 hours,11–20 hours,5 hours or less,[^not chosen],11–20 hours,None,[^not chosen],[^not chosen]
iDgY,Employee,Senior Reporting Analyst,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,11–20 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,[^not chosen],[\unfinished]
nHpC,EmployeeAND,[^not answered],1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],20 hours or less,5 hours or less,5 hours or less,None,5 hours or less,None,None,[^not chosen]
MviO,OtherCombo,Instructor,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],21–30 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,"Building infrastructure, testing"
iJnH,Freelance,Independent Consultant,11-15,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],More than 70 hours,21–30 hours,21–30 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,[^not answered]
ZDUP,EmployeeAND,[^not answered],1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],20 hours or less,21–30 hours,21–30 hours,11–20 hours,11–20 hours,6–10 hours,[^not chosen],[^not chosen]
jnJJ,Employee,Senior Scientist,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],41–50 hours,6–10 hours,21–30 hours,None,6–10 hours,None,None,[^not chosen]
LGSl,Academic,Professor,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,6–10 hours,21–30 hours,5 hours or less,11–20 hours,None,None,[^not chosen]
owEp,Freelance,[^not answered],11-15,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],20 hours or less,More than 30 hours,21–30 hours,[^not chosen],21–30 hours,[^not chosen],[^not chosen],[^not chosen]
CThC,Employee,Web Developer,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],More than 70 hours,21–30 hours,21–30 hours,6–10 hours,More than 30 hours,5 hours or less,[^not chosen],[^not chosen]
