set1_id,DataVizRoles_collapsed,JobTitle_cleaned__,YearsDataVizExperience_buckets,OrgSector_,OrgSector_Public,OrgSector_Private,OrgSector_Nonprofit,OrgSector_Academia,OrgSector_Other__,TimeWorked,TimeDataPrep,TimeDataAnalysis,TimeIdeating,TimeProducingViz,TimeManagingDataViz,TimeOtherVizTasks,OtherVizTasks__
CBZI,Academic,Data Services Librarian,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,None,[^not chosen]
dTpi,Employee,Business Analytics Manager,16-20,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,5 hours or less,None,21–30 hours,5 hours or less,None,[^not chosen]
gHfQ,Employee,Data Designer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,5 hours or less,6–10 hours,6–10 hours,11–20 hours,None,[^not chosen]
YEpS,Employee,Senior Data Analyst and UX Optimization Consultant,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,6–10 hours,[^not chosen],[^not chosen]
gKGh,EmployeeANDFreelance,Tables Developer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],20 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,None,None,[^not chosen]
LURe,FreelanceAND,Consultant,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,5 hours or less,5 hours or less,None,5 hours or less,None,None,[^not chosen]
CwPT,Employee,Health Promotion Specialist,6-10,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],20 hours or less,11–20 hours,5 hours or less,5 hours or less,5 hours or less,21–30 hours,None,[^not chosen]
wRJY,Freelance,Principal,16-20,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,[^not chosen],11–20 hours,[^not answered]
wFPb,Employee,Senior Data Visualization Analyst,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,None,None,None,[^not chosen],[^not chosen]
lvFC,Employee,Senior Consultant,1-5,2,[^not chosen],x,x,[^not chosen],[^not chosen],20 hours or less,6–10 hours,5 hours or less,[^not chosen],5 hours or less,None,None,[^not chosen]
tFWq,FreelanceAND,Post Doctoral Researcher,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,11–20 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,None,[^not chosen]
NbYW,Employee,STEM Coordinator,More than 30,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],41–50 hours,None,5 hours or less,None,None,None,None,[^not chosen]
GUSt,Employee,Senior Journalist Engineer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,11–20 hours,11–20 hours,5 hours or less,5 hours or less,social media; promotion; audience engagement
rggC,Employee,Senior Data Analyst,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,6–10 hours,5 hours or less,11–20 hours,11–20 hours,5 hours or less,6–10 hours,Quality Check;Debugging
MHCH,Employee,Lead UX/UI Designer,1-5,4,x,[^not chosen],x,x,"Anything ""impact driven"", so occasional private sector",41–50 hours,5 hours or less,5 hours or less,6–10 hours,None,5 hours or less,None,[^not chosen]
JOqm,Employee,Business Intelligence Data Scientist,6-10,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,[^not chosen]
YZzM,FreelanceAND,Research Data Manager,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,11–20 hours,5 hours or less,None,5 hours or less,5 hours or less,None,[^not chosen]
Pqrm,Academic,Educator and author,21-25,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,5 hours or less,5 hours or less,None,6–10 hours,5 hours or less,None,[^not chosen]
agTB,Employee,Data Analyst,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,6–10 hours,5 hours or less,None,5 hours or less,5 hours or less,None,[^not chosen]
nnNi,Employee,Business Insights Analyst,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,None,[^not chosen],[^not chosen]
